source,target,weight,type
16492,8865,1,follow
16492,9146,1,dislike
16492,1095,1,follow
16492,7885,1,dislike
16492,14350,1,dislike
16492,1571,1,follow
8294,17151,1,dislike
8294,13775,1,follow
8294,16682,1,follow
8294,12412,1,follow
8294,6629,1,like
8299,15175,1,follow
8299,20613,1,follow
8299,14392,1,follow
8299,13498,1,follow
8299,9630,1,follow
116,116,2,like
116,8050,1,like
116,8865,1,follow
116,8835,1,like
117,117,4,like
117,17615,1,like
117,7852,1,like
117,19496,1,follow
117,11871,1,like
117,13902,1,follow
117,15148,1,follow
117,9630,1,follow
117,11934,2,unfollow
117,10678,1,like
117,8822,1,dislike
117,8654,1,follow
117,8026,1,follow
117,20613,1,follow
117,12046,1,follow
117,10711,1,follow
117,11451,1,like
117,994,1,follow
117,9768,1,follow
117,16169,1,follow
117,12168,1,follow
117,7522,1,follow
117,8918,1,like
117,10335,1,follow
117,8823,1,follow
117,14923,1,like
117,10358,1,like
117,8193,1,dislike
117,14907,1,dislike
117,13983,1,like
117,7192,2,like
117,8188,1,dislike
117,8417,1,like
117,13870,1,like
117,7086,1,like
117,15249,1,like
117,11850,1,follow
117,14163,1,follow
117,6441,1,like
117,87,1,like
117,7962,1,follow
117,8766,1,dislike
117,6298,1,like
117,13823,1,like
117,1621,1,dislike
117,16234,1,dislike
117,13736,1,like
117,20161,1,dislike
117,14160,1,like
117,8055,1,follow
117,12412,1,follow
117,8214,1,dislike
117,6599,1,follow
117,8312,1,follow
117,8841,1,like
117,16184,1,follow
117,19191,1,like
117,14855,1,like
117,19432,1,dislike
16502,9046,1,like
16502,9068,1,like
16502,14808,1,like
8312,9634,1,like
8312,15185,1,follow
8312,13044,1,follow
8312,12111,1,like
8312,2867,1,follow
8312,1924,1,follow
8312,11388,1,like
8312,19209,1,follow
8312,11597,1,like
8312,8774,1,like
8312,15602,1,follow
8312,16602,1,follow
8312,14150,1,like
8312,8630,1,follow
8312,6465,1,follow
8312,14910,1,dislike
8312,14244,1,like
8312,8122,1,follow
8312,19873,1,like
8312,16169,1,follow
8312,9534,1,follow
8312,7781,1,follow
8312,8312,1,dislike
8312,10498,1,like
8312,7756,1,like
8312,8782,1,like
8312,15985,1,like
8312,8188,1,dislike
8312,14895,1,follow
8312,14451,1,follow
8312,16466,1,like
8312,12480,1,follow
8312,8877,1,like
8312,9961,1,follow
8312,12412,3,dislike
8312,8945,1,dislike
8312,16180,1,dislike
8312,1017,1,follow
8312,7748,1,like
8312,10787,1,like
8312,8214,1,dislike
8312,8790,1,follow
8312,1237,1,follow
8312,672,1,dislike
8312,12334,1,follow
8312,7778,1,follow
8312,14345,1,dislike
8312,7233,1,like
8312,7665,1,dislike
8312,17079,1,like
8312,18527,1,follow
8312,1070,1,follow
122,11856,1,follow
122,13476,1,like
122,8026,1,follow
122,8865,1,follow
122,6298,1,like
122,7715,1,follow
122,135,1,follow
122,122,1,like
122,9881,1,like
122,8188,1,like
122,2271,1,like
122,16537,1,follow
8315,8315,2,like
8315,8366,1,follow
8315,15175,1,follow
8315,16297,1,follow
8316,12167,1,follow
8316,17074,1,like
8316,12185,1,like
8316,8316,1,like
8316,8682,1,follow
8316,8817,1,like
8316,8830,1,like
8316,14808,1,like
8316,6599,1,follow
8317,10403,1,follow
8317,8317,3,like
8317,16866,1,follow
8317,8312,1,unfollow
8317,8050,1,dislike
8317,8214,1,like
8317,14451,1,dislike
8317,8682,1,follow
8317,6465,1,like
8317,14461,1,follow
8317,6983,1,like
8317,183,1,dislike
8317,10157,1,like
8317,14529,1,like
8317,2857,1,dislike
8317,12412,1,follow
8317,6648,1,like
8318,9534,1,like
8318,1178,1,follow
8318,6288,1,follow
8318,15974,1,like
8318,2391,1,follow
8318,15918,1,like
8318,12412,1,follow
8318,16169,1,follow
8318,9841,1,like
8318,8188,1,follow
8318,7748,1,follow
8318,8831,1,follow
8318,8312,1,like
8318,8970,1,dislike
8318,15866,1,like
8318,7659,1,follow
8318,2226,1,dislike
8318,6298,1,like
8318,7778,1,follow
8318,7529,2,like
8318,19873,1,follow
131,131,2,like
131,11943,1,like
131,11003,1,follow
131,135,1,like
131,19209,1,like
131,8191,1,like
131,13998,1,like
131,11850,1,like
131,16779,1,follow
131,14907,1,like
131,11313,1,follow
135,18738,1,like
135,10663,1,like
135,14907,1,unfollow
135,11961,1,like
135,6288,3,like
135,11924,1,follow
135,16158,1,follow
135,10335,1,dislike
135,10267,1,follow
135,13998,1,like
135,15185,1,follow
135,12095,1,like
135,19191,1,like
135,8802,1,dislike
135,9826,1,follow
135,8865,1,like
135,12201,1,follow
135,9384,1,follow
135,14996,1,follow
135,1692,1,like
135,14379,1,like
135,1490,1,follow
135,19366,1,like
135,12412,1,follow
135,16101,1,follow
135,8821,1,follow
135,10554,1,like
135,15375,1,follow
135,11850,2,like
135,11313,1,follow
135,10793,1,like
135,13627,1,follow
135,10702,1,like
135,8166,1,like
135,7353,1,follow
135,6668,1,follow
135,16180,1,like
135,7949,1,dislike
135,8026,1,like
135,14954,1,follow
135,15593,1,like
135,135,3,like
135,14895,1,like
135,13834,1,dislike
135,16036,1,follow
135,7726,1,follow
135,13983,1,follow
135,16699,1,dislike
135,14808,1,follow
135,16310,1,like
135,7315,1,like
135,13932,1,dislike
135,15158,1,follow
135,7898,1,dislike
135,8050,1,like
135,7262,1,like
135,16169,1,like
135,7377,1,follow
135,7715,1,like
135,8214,1,follow
135,8312,1,follow
135,3621,1,dislike
135,17194,1,follow
135,8632,1,like
135,19209,1,follow
8328,13992,1,follow
8328,12167,1,like
8328,9630,1,follow
8328,20748,1,like
8328,7741,1,like
8328,12156,1,like
8328,15555,3,like
8328,6288,1,follow
8328,10746,1,follow
8328,17444,1,follow
8328,12412,1,follow
8328,1807,1,like
8328,6622,1,follow
8328,19924,1,like
8328,14488,1,dislike
8328,15185,1,like
8328,8328,1,like
8328,14941,1,dislike
8333,16675,1,dislike
8333,8318,1,follow
8333,14451,1,dislike
8333,7748,1,like
8333,19873,1,like
8333,1288,1,dislike
8333,14373,1,follow
8333,2611,1,like
8333,15022,1,dislike
8333,13981,1,follow
8333,19209,1,follow
8333,17171,1,follow
16536,19209,1,unfollow
16537,14471,1,like
16537,18527,1,like
16537,12412,2,unfollow
16537,13516,1,like
16537,11605,1,follow
16537,12168,1,follow
16537,7456,1,like
16537,12106,1,like
16537,10621,2,like
16537,8789,1,like
16537,11636,1,like
16537,16169,1,follow
16537,11950,1,like
16537,15014,1,like
16537,7522,1,follow
16537,1846,1,follow
16537,10975,1,like
16537,117,1,follow
16537,8832,1,like
16537,9630,1,follow
16537,135,1,follow
16537,10258,1,like
16537,16125,1,like
16537,16036,2,like
16537,14379,1,follow
16537,13834,1,like
16537,14923,1,like
16537,13830,1,follow
16537,8802,1,like
16537,17194,1,like
16537,9881,1,follow
16537,2738,1,like
16537,1490,1,follow
16537,16310,1,like
16537,11124,1,follow
16537,6288,1,like
16537,14287,1,like
16537,19366,1,like
16537,8782,1,like
16537,8537,1,dislike
16537,14530,1,follow
16537,8766,1,dislike
16537,9826,1,like
16537,14907,1,follow
16537,13998,1,dislike
16537,19209,1,follow
16537,12305,1,like
16537,16636,1,dislike
16537,16537,1,like
16537,7911,1,like
16537,7665,1,dislike
16537,7834,1,follow
16537,7189,1,like
16537,13736,1,like
154,154,1,follow
154,16410,1,follow
154,16125,1,dislike
154,11010,1,dislike
154,8844,1,like
154,1774,1,dislike
8346,19209,1,follow
8346,14494,1,follow
8346,14907,1,follow
8346,86,1,follow
8346,8876,1,follow
8346,8877,1,like
8346,14808,1,dislike
8346,8817,1,like
8346,18738,1,like
8346,7443,1,follow
16541,11458,1,follow
166,14488,1,follow
166,19873,1,like
168,11916,1,like
168,168,1,follow
168,16971,1,follow
168,15948,1,follow
168,12204,1,follow
168,15499,1,follow
168,12255,1,like
168,2784,1,follow
168,13851,1,like
168,13932,1,like
168,6943,1,like
168,16047,1,like
168,13552,1,follow
168,6629,1,dislike
168,12412,1,like
168,17004,1,dislike
168,9623,1,like
170,19209,3,follow
170,8963,1,like
170,13795,1,like
170,8312,1,follow
170,10825,1,like
170,9703,1,like
170,8817,1,dislike
170,6292,1,like
170,7146,1,follow
170,16696,1,dislike
170,3793,1,follow
8366,8366,1,dislike
8366,14426,1,like
8366,15175,1,like
8366,11872,1,follow
8366,1468,1,follow
8366,16352,1,follow
8366,13498,1,follow
8366,10717,1,like
16559,14268,1,like
16559,2574,1,follow
16559,20689,1,like
16559,16559,1,like
16559,8193,1,dislike
16559,8766,1,dislike
16559,16637,3,like
16559,14478,2,like
16559,16200,1,dislike
16559,16573,1,like
176,15205,1,dislike
176,15834,1,follow
176,9213,1,follow
16560,17615,1,like
16560,15244,1,follow
16560,9534,1,follow
16560,12095,1,follow
16560,13916,1,like
16560,11966,1,like
16560,15985,1,follow
16560,8831,1,like
16560,13908,1,follow
16560,16570,1,like
16560,2872,1,follow
16560,11236,1,like
16560,17813,1,unfollow
16560,7274,1,follow
16560,9630,1,follow
16560,13718,1,follow
16560,9427,1,like
16560,16443,1,follow
16560,11636,1,follow
16560,11505,1,like
16560,7748,1,follow
16560,8802,2,like
16560,15579,1,follow
16560,11722,1,like
16560,15733,1,follow
16560,13899,1,follow
16560,7156,1,follow
16560,14119,1,follow
16560,16560,2,dislike
16560,19873,1,like
16560,9103,1,like
16560,7069,1,like
16560,11215,1,like
16560,16310,1,follow
16560,8788,1,like
16560,12344,1,follow
16560,8877,1,like
16560,12412,1,follow
16560,8318,1,follow
16560,8451,1,like
16560,13902,1,follow
16560,7522,1,like
16560,8312,2,follow
16560,6292,1,like
16560,6463,1,like
16560,6288,1,dislike
16560,8188,1,like
16560,7844,1,follow
16560,13391,1,like
16560,12480,1,like
16560,16736,1,dislike
16560,260,1,follow
16560,17025,1,follow
16560,16885,1,follow
16560,10254,1,like
16560,2595,1,dislike
16560,19209,1,follow
16560,6366,1,like
16565,8994,1,like
181,181,1,dislike
181,8026,1,follow
181,10335,1,follow
181,17201,1,follow
181,10870,1,like
181,1437,1,follow
181,8811,1,like
181,7317,1,follow
181,15618,1,follow
181,7849,1,like
181,15765,1,follow
181,2927,1,follow
181,19254,1,like
181,13834,1,like
181,14907,1,like
181,15081,1,follow
181,13998,1,like
181,14563,2,follow
181,1924,1,like
181,8802,1,like
181,8191,1,like
